Network; click for storage info,#pos ss,mixed volume,overcount,,polynomials,output from networkmaker.py,notes,network
2 2 2 0 3 0 3 1,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""B-->0""}, NullSymbol => ""0"")","-a*b - b , -a*b","A+B-->0 , B-->0",,
2 2 2 0 3 0 3 1 1 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""B-->A+A""}, NullSymbol => ""0"")","-a*b - b , -a*b + 2*b","A+B-->0 , B-->A+A",,
2 2 2 0 3 0 3 1 1 3 1 3,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""B-->B+B""}, NullSymbol => ""0"")","-a*b + b , -a*b","A+B-->0 , B-->B+B",,
2 2 2 0 3 0 0 2 0 2 3 1,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""B-->0""}, NullSymbol => ""0"")","-a*b - b , a*b","A+B-->A+A , B-->0",,
2 2 2 0 3 0 0 2 0 2 3 1 1 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""B-->A+A""}, NullSymbol => ""0"")","-a*b - b , a*b + 2*b","A+B-->A+A , B-->A+A",,
2 2 2 0 3 0 0 2 0 2 3 1 1 3 1 3,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""B-->B+B""}, NullSymbol => ""0"")","-a*b + b , a*b","A+B-->A+A , B-->B+B",,
2 2 2 0 3 0 0 3 0 3 3 1,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B-->0""}, NullSymbol => ""0"")","a*b - b , -a*b","A+B-->B+B , B-->0",,
2 2 2 0 3 0 0 3 0 3 3 1 1 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B-->A+A""}, NullSymbol => ""0"")","a*b - b , -a*b + 2*b","A+B-->B+B , B-->A+A",,
2 2 2 0 3 0 0 3 0 3 3 1 1 3 1 3,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B-->B+B""}, NullSymbol => ""0"")","a*b + b , -a*b","A+B-->B+B , B-->B+B",,
2 2 2 0 3 0 0 3 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->B"" , ""B-->A""}, NullSymbol => ""0"")","-b , -a*b + b","A+B-->B , B-->A",,
2 2 2 0 3 0 0 2 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""B-->A+B""}, NullSymbol => ""0"")","-a*b , b","A+B-->A , B-->A+B",,
2 2 2 0 3 0 0 2 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""B-->A""}, NullSymbol => ""0"")","-a*b - b , b","A+B-->A , B-->A",,
2 2 2 0 0 2 0 2 3 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->A+A"" , ""B+B-->A""}, NullSymbol => ""0"")","-2*b^2 , b^2 + a","A-->A+A , B+B-->A",,
2 2 2 0 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->0"" , ""0-->A+B""}, NullSymbol => ""0"")","1 , -a + 1","A-->0 , 0-->A+B",,
2 2 2 0 3 1 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->0"" , ""B+B-->A+B""}, NullSymbol => ""0"")","-b^2 , b^2 - a","A-->0 , B+B-->A+B",,
2 2 2 0 2 1 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->0"" , ""A+A-->A+B""}, NullSymbol => ""0"")","a^2 , -a^2 - a","A-->0 , A+A-->A+B",,
2 2 2 0 3 1,0,0,0,"N = reactionNetwork({""A-->0"" , ""B-->0""}, NullSymbol => ""0"")","-b , -a","A-->0 , B-->0",,
2 2 2 0 0 2 0 2 3 1 1 3 1 3,0,0,0,"N = reactionNetwork({""A-->A+A"" , ""B-->B+B""}, NullSymbol => ""0"")","b , a","A-->A+A , B-->B+B",,
2 2 2 0 0 3 0 3 3 1 1 2 1 2,0,0,0,"N = reactionNetwork({""A-->B+B"" , ""B-->A+A""}, NullSymbol => ""0"")","2*a - b, -a + 2*b","A-->B+B , B-->A+A",,
2 2 2 0 0 2 0 2 3 1 1 2 1 2,0,0,0,"N = reactionNetwork({""A-->A+A"" , ""B-->A+A""}, NullSymbol => ""0"")","-b , a + 2*b","A-->A+A , B-->A+A",,
2 2 2 0 0 2 0 2 3 1 1 2,0,0,0,"N = reactionNetwork({""A-->A+A"" , ""B-->A""}, NullSymbol => ""0"")","-b , a + b","A-->A+A , B-->A",,
2 2 2 0 3 1 1 2 1 3,1,1,0,"N = reactionNetwork({""A-->0"" , ""B-->A+B""}, NullSymbol => ""0"")","-a + b , 0 , b - 1","A-->0 , B-->A+B",,
2 2 2 0 0 3 3 1 1 2,1,1,0,"N = reactionNetwork({""A-->B"" , ""B-->A""}, NullSymbol => ""0"")","a - b , -a + b, a + b - 2","A-->B , B-->A",,
2 2 2 0 0 2 0 3 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A-->A+B"" , ""B-->A+B""}, NullSymbol => ""0"")","a , b","A-->A+B , B-->A+B",,
2 2 2 0 3 0 0 3 0 3 1 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""0-->A+A""}, NullSymbol => ""0"")","a*b , -a*b + 2","A+B-->B+B , 0-->A+A",,
2 2 2 0 3 0 0 2 0 2 1 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""0-->A+A""}, NullSymbol => ""0"")","-a*b , a*b + 2","A+B-->A+A , 0-->A+A",,
2 2 2 0 3 0 0 2 0 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""0-->A""}, NullSymbol => ""0"")","-a*b , a*b + 2","A+B-->A+A , 0-->A",,
2 2 2 0 3 0 0 2 0 2 3 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""B+B-->A""}, NullSymbol => ""0"")","-a*b-2*b^2 , a*b + b^2","A+B-->A+A , B+B-->A",,
2 2 2 0 3 0 0 2 0 2 2 1 2 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->A+A"" , ""A+A-->A""}, NullSymbol => ""0"")","-a*b , -a^2 + a*b","A+B-->A+A , A+A-->A",,
2 2 2 0 3 0 1 2 1 3,1,2,1,"N = reactionNetwork({""A+B-->0"" , ""0-->A+B""}, NullSymbol => ""0"")","-a*b + 1 , -a*b + 1 , -a + b + 3 - 2","A+B-->0 , 0-->A+B",,
2 2 2 0 3 0 2 1 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""A+A-->A+B""}, NullSymbol => ""0"")","a^2 - a*b , -a^2 - a*b","A+B-->0 , A+A-->A+B",,
2 2 2 0 3 0 0 2 1 3,1,1,0,"N = reactionNetwork({""A+B-->A"" , ""0-->B""}, NullSymbol => ""0"")","0, -a*b + 1 , a - 1","A+B-->A , 0-->B",,
2 2 2 0 3 0 0 2 1 2,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""0-->A""}, NullSymbol => ""0"")","-a*b , 1","A+B-->A , 0-->A",,
2 2 2 0 3 0 0 2 0 2 3 1 1 2,0,1,1,"N = reactionNetwork({""A+B-->A+A"" , ""B-->A""}, NullSymbol => ""0"")","-a*b - b, a*b + b , a + b - 2","A+B-->A+A , B-->A",,
